Name,URL
Github MySF,https://gitlab.smartfren.com/sinarmasdigital-tio/mysf/mysf-v7-rn
Zeplin MySF,https://zpl.io/b6LNo0P
Zeplin MySF - updates,https://zpl.io/amjRMLv
Zeplin Treasure Hunt,https://zpl.io/a8n0Kqd
